76 saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_FC': 2e-05}
77 saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_FC': 0.0}
78 not saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_FC': 1e-05}
79 saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_FC': 0.0}
80 saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_FC': 0.0}
81 saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_FC': 1e-05}
82 not saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_FC': 1e-05}
83 not saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_FC': 1e-05}
84 saved {'val_OrigRecLoss': 0.00313, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_FC': 0.0}
85 not saved {'val_OrigRecLoss': 0.00313, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_FC': 0.0}
86 not saved {'val_OrigRecLoss': 0.00313, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_FC': 1e-05}
87 saved {'val_OrigRecLoss': 0.00313, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_FC': 0.0}
88 saved {'val_OrigRecLoss': 0.00313, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_FC': 0.0}
89 saved {'val_OrigRecLoss': 0.00313, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_FC': 1e-05}
90 saved {'val_OrigRecLoss': 0.00313, 'val_FeatRecLoss': 0.00193, 'val_kl_Loss_FC': 0.0}
91 saved {'val_OrigRecLoss': 0.00313, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_FC': 0.0}
92 not saved {'val_OrigRecLoss': 0.00313, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_FC': 1e-05}
93 not saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_FC': 1e-05}
94 saved {'val_OrigRecLoss': 0.00313, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_FC': 1e-05}
95 not saved {'val_OrigRecLoss': 0.00313, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_FC': 0.0}
96 saved {'val_OrigRecLoss': 0.00313, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_FC': 1e-05}
97 not saved {'val_OrigRecLoss': 0.00313, 'val_FeatRecLoss': 0.00193, 'val_kl_Loss_FC': 0.0}
98 not saved {'val_OrigRecLoss': 0.00313, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_FC': 0.0}
99 saved {'val_OrigRecLoss': 0.00312, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_FC': 1e-05}
100 saved {'val_OrigRecLoss': 0.00312, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_FC': 1e-05}
101 not saved {'val_OrigRecLoss': 0.00312, 'val_FeatRecLoss': 0.00193, 'val_kl_Loss_FC': 1e-05}
102 saved {'val_OrigRecLoss': 0.00312, 'val_FeatRecLoss': 0.00193, 'val_kl_Loss_FC': 0.0}
103 not saved {'val_OrigRecLoss': 0.00312, 'val_FeatRecLoss': 0.00193, 'val_kl_Loss_FC': 0.0}
104 saved {'val_OrigRecLoss': 0.00312, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_FC': 0.0}
105 saved {'val_OrigRecLoss': 0.00311, 'val_FeatRecLoss': 0.00193, 'val_kl_Loss_FC': 1e-05}
106 saved {'val_OrigRecLoss': 0.00311, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_FC': 0.0}
107 saved {'val_OrigRecLoss': 0.00311, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_FC': 0.0}
108 saved {'val_OrigRecLoss': 0.0031, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_FC': 0.0}
109 saved {'val_OrigRecLoss': 0.0031, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_FC': 1e-05}
110 saved {'val_OrigRecLoss': 0.0031, 'val_FeatRecLoss': 0.00193, 'val_kl_Loss_FC': 0.0}
111 saved {'val_OrigRecLoss': 0.00309, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_FC': 0.0}
112 saved {'val_OrigRecLoss': 0.00309, 'val_FeatRecLoss': 0.00193, 'val_kl_Loss_FC': 0.0}
113 saved {'val_OrigRecLoss': 0.00309, 'val_FeatRecLoss': 0.00193, 'val_kl_Loss_FC': 1e-05}
114 saved {'val_OrigRecLoss': 0.00309, 'val_FeatRecLoss': 0.00193, 'val_kl_Loss_FC': 0.0}
115 saved {'val_OrigRecLoss': 0.00309, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_FC': 1e-05}
116 saved {'val_OrigRecLoss': 0.00308, 'val_FeatRecLoss': 0.00193, 'val_kl_Loss_FC': 1e-05}
117 saved {'val_OrigRecLoss': 0.00308, 'val_FeatRecLoss': 0.00193, 'val_kl_Loss_FC': 1e-05}
118 saved {'val_OrigRecLoss': 0.00308, 'val_FeatRecLoss': 0.00192, 'val_kl_Loss_FC': 1e-05}
119 saved {'val_OrigRecLoss': 0.00307, 'val_FeatRecLoss': 0.00193, 'val_kl_Loss_FC': 0.0}
120 saved {'val_OrigRecLoss': 0.00307, 'val_FeatRecLoss': 0.00193, 'val_kl_Loss_FC': 1e-05}
121 saved {'val_OrigRecLoss': 0.00306, 'val_FeatRecLoss': 0.00193, 'val_kl_Loss_FC': 1e-05}
122 saved {'val_OrigRecLoss': 0.00306, 'val_FeatRecLoss': 0.00193, 'val_kl_Loss_FC': 1e-05}
123 saved {'val_OrigRecLoss': 0.00306, 'val_FeatRecLoss': 0.00193, 'val_kl_Loss_FC': 1e-05}
124 saved {'val_OrigRecLoss': 0.00305, 'val_FeatRecLoss': 0.00193, 'val_kl_Loss_FC': 0.0}
125 saved {'val_OrigRecLoss': 0.00305, 'val_FeatRecLoss': 0.00193, 'val_kl_Loss_FC': 0.0}
126 saved {'val_OrigRecLoss': 0.00304, 'val_FeatRecLoss': 0.00193, 'val_kl_Loss_FC': 1e-05}
127 saved {'val_OrigRecLoss': 0.00304, 'val_FeatRecLoss': 0.00193, 'val_kl_Loss_FC': 0.0}
128 not saved {'val_OrigRecLoss': 0.00304, 'val_FeatRecLoss': 0.00192, 'val_kl_Loss_FC': 0.0}
129 not saved {'val_OrigRecLoss': 0.00304, 'val_FeatRecLoss': 0.00191, 'val_kl_Loss_FC': 0.0}
130 saved {'val_OrigRecLoss': 0.00302, 'val_FeatRecLoss': 0.00191, 'val_kl_Loss_FC': 2e-05}
131 saved {'val_OrigRecLoss': 0.00301, 'val_FeatRecLoss': 0.00192, 'val_kl_Loss_FC': 1e-05}
132 saved {'val_OrigRecLoss': 0.00301, 'val_FeatRecLoss': 0.00191, 'val_kl_Loss_FC': 0.0}
