51 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.17897, 'val_kl_Loss_FC': 0.0}
52 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.1781, 'val_kl_Loss_FC': 1e-05}
53 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.1421, 'val_kl_Loss_FC': 1e-05}
54 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.14281, 'val_kl_Loss_FC': 1e-05}
55 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.19666, 'val_kl_Loss_FC': 1e-05}
56 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.08285, 'val_kl_Loss_FC': 1e-05}
57 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.08143, 'val_kl_Loss_FC': 1e-05}
58 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.04408, 'val_kl_Loss_FC': 1e-05}
59 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.15892, 'val_kl_Loss_FC': 0.0}
60 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.99893, 'val_kl_Loss_FC': 1e-05}
61 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.96431, 'val_kl_Loss_FC': 0.0}
62 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.04995, 'val_kl_Loss_FC': 0.0}
63 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.17999, 'val_kl_Loss_FC': 1e-05}
64 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.94126, 'val_kl_Loss_FC': 0.0}
65 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.90097, 'val_kl_Loss_FC': 0.0}
66 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.92357, 'val_kl_Loss_FC': 0.0}
67 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.84796, 'val_kl_Loss_FC': 0.0}
68 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.89974, 'val_kl_Loss_FC': 0.0}
69 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.82438, 'val_kl_Loss_FC': 0.0}
70 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.89138, 'val_kl_Loss_FC': 1e-05}
71 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.97084, 'val_kl_Loss_FC': 0.0}
72 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.81108, 'val_kl_Loss_FC': 0.0}
73 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.86597, 'val_kl_Loss_FC': 2e-05}
74 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.74764, 'val_kl_Loss_FC': 1e-05}
75 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.72532, 'val_kl_Loss_FC': 0.0}
76 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.87725, 'val_kl_Loss_FC': 0.0}
77 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.71797, 'val_kl_Loss_FC': 0.0}
78 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.80065, 'val_kl_Loss_FC': 0.0}
79 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.64936, 'val_kl_Loss_FC': 0.0}
80 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.73194, 'val_kl_Loss_FC': 0.0}
81 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.63698, 'val_kl_Loss_FC': 1e-05}
82 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.63114, 'val_kl_Loss_FC': 0.0}
83 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.60476, 'val_kl_Loss_FC': 0.0}
84 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.60708, 'val_kl_Loss_FC': 0.0}
