60 saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 0.19156, 'val_kl_Loss_FC': 0.0}
61 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 0.17976, 'val_kl_Loss_FC': 0.0}
62 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 0.17826, 'val_kl_Loss_FC': 0.0}
63 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 0.17999, 'val_kl_Loss_FC': 0.0}
64 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 0.17685, 'val_kl_Loss_FC': 1e-05}
65 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.16718, 'val_kl_Loss_FC': 0.0}
66 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.17455, 'val_kl_Loss_FC': 0.0}
67 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.16829, 'val_kl_Loss_FC': 0.0}
68 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 0.17961, 'val_kl_Loss_FC': 0.0}
69 saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.16167, 'val_kl_Loss_FC': 0.0}
70 saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 0.15824, 'val_kl_Loss_FC': 0.0}
71 saved {'val_OrigRecLoss': 0.00313, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.17146, 'val_kl_Loss_FC': 0.0}
72 not saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 0.16025, 'val_kl_Loss_FC': 0.0}
73 saved {'val_OrigRecLoss': 0.00313, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.15716, 'val_kl_Loss_FC': 0.0}
74 saved {'val_OrigRecLoss': 0.00313, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 0.14789, 'val_kl_Loss_FC': 0.0}
75 saved {'val_OrigRecLoss': 0.00313, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 0.15503, 'val_kl_Loss_FC': 0.0}
76 not saved {'val_OrigRecLoss': 0.00313, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 0.15977, 'val_kl_Loss_FC': 0.0}
77 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 0.14755, 'val_kl_Loss_FC': 0.0}
78 saved {'val_OrigRecLoss': 0.00312, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.15905, 'val_kl_Loss_FC': 0.0}
79 saved {'val_OrigRecLoss': 0.00312, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 0.17226, 'val_kl_Loss_FC': 0.0}
80 saved {'val_OrigRecLoss': 0.00312, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.15623, 'val_kl_Loss_FC': 1e-05}
81 saved {'val_OrigRecLoss': 0.00312, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 0.17481, 'val_kl_Loss_FC': 0.0}
82 saved {'val_OrigRecLoss': 0.00311, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 0.18103, 'val_kl_Loss_FC': 0.0}
83 saved {'val_OrigRecLoss': 0.00311, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.17869, 'val_kl_Loss_FC': 1e-05}
84 not saved {'val_OrigRecLoss': 0.00312, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.17384, 'val_kl_Loss_FC': 1e-05}
85 saved {'val_OrigRecLoss': 0.0031, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.16866, 'val_kl_Loss_FC': 0.0}
86 not saved {'val_OrigRecLoss': 0.00311, 'val_FeatRecLoss': 0.00115, 'val_kl_Loss_Z': 0.20443, 'val_kl_Loss_FC': 1e-05}
87 not saved {'val_OrigRecLoss': 0.00312, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.17845, 'val_kl_Loss_FC': 0.0}
88 saved {'val_OrigRecLoss': 0.0031, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.17293, 'val_kl_Loss_FC': 0.0}
89 saved {'val_OrigRecLoss': 0.00309, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 0.17191, 'val_kl_Loss_FC': 0.0}
90 saved {'val_OrigRecLoss': 0.00309, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.17184, 'val_kl_Loss_FC': 1e-05}
91 saved {'val_OrigRecLoss': 0.00309, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.18008, 'val_kl_Loss_FC': 1e-05}
92 saved {'val_OrigRecLoss': 0.00309, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.16475, 'val_kl_Loss_FC': 1e-05}
93 saved {'val_OrigRecLoss': 0.00309, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.25244, 'val_kl_Loss_FC': 0.0}
94 not saved {'val_OrigRecLoss': 0.00309, 'val_FeatRecLoss': 0.00115, 'val_kl_Loss_Z': 0.17124, 'val_kl_Loss_FC': 1e-05}
95 saved {'val_OrigRecLoss': 0.00308, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.17054, 'val_kl_Loss_FC': 0.0}
96 saved {'val_OrigRecLoss': 0.00308, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.16948, 'val_kl_Loss_FC': 1e-05}
97 saved {'val_OrigRecLoss': 0.00307, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.1598, 'val_kl_Loss_FC': 1e-05}
98 saved {'val_OrigRecLoss': 0.00306, 'val_FeatRecLoss': 0.00115, 'val_kl_Loss_Z': 0.16572, 'val_kl_Loss_FC': 0.0}
99 saved {'val_OrigRecLoss': 0.00306, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.17111, 'val_kl_Loss_FC': 1e-05}
100 saved {'val_OrigRecLoss': 0.00306, 'val_FeatRecLoss': 0.00115, 'val_kl_Loss_Z': 0.16147, 'val_kl_Loss_FC': 0.0}
101 saved {'val_OrigRecLoss': 0.00305, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 0.18054, 'val_kl_Loss_FC': 1e-05}
102 saved {'val_OrigRecLoss': 0.00305, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.16521, 'val_kl_Loss_FC': 0.0}
103 saved {'val_OrigRecLoss': 0.00304, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.17126, 'val_kl_Loss_FC': 1e-05}
104 saved {'val_OrigRecLoss': 0.00304, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.16435, 'val_kl_Loss_FC': 0.0}
105 saved {'val_OrigRecLoss': 0.00303, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.16902, 'val_kl_Loss_FC': 0.0}
106 not saved {'val_OrigRecLoss': 0.00304, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.16964, 'val_kl_Loss_FC': 0.0}
107 saved {'val_OrigRecLoss': 0.00302, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.19999, 'val_kl_Loss_FC': 1e-05}
108 saved {'val_OrigRecLoss': 0.00302, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.17082, 'val_kl_Loss_FC': 0.0}
109 saved {'val_OrigRecLoss': 0.00301, 'val_FeatRecLoss': 0.00115, 'val_kl_Loss_Z': 0.17259, 'val_kl_Loss_FC': 0.0}
110 saved {'val_OrigRecLoss': 0.003, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.17559, 'val_kl_Loss_FC': 1e-05}
111 saved {'val_OrigRecLoss': 0.003, 'val_FeatRecLoss': 0.00115, 'val_kl_Loss_Z': 0.17229, 'val_kl_Loss_FC': 0.0}
112 saved {'val_OrigRecLoss': 0.00299, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.17308, 'val_kl_Loss_FC': 0.0}
113 saved {'val_OrigRecLoss': 0.00299, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.16964, 'val_kl_Loss_FC': 0.0}
114 saved {'val_OrigRecLoss': 0.00299, 'val_FeatRecLoss': 0.00115, 'val_kl_Loss_Z': 0.18075, 'val_kl_Loss_FC': 1e-05}
115 saved {'val_OrigRecLoss': 0.00298, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 0.17966, 'val_kl_Loss_FC': 0.0}
116 saved {'val_OrigRecLoss': 0.00298, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.17912, 'val_kl_Loss_FC': 1e-05}
117 saved {'val_OrigRecLoss': 0.00297, 'val_FeatRecLoss': 0.00115, 'val_kl_Loss_Z': 0.17814, 'val_kl_Loss_FC': 1e-05}
118 saved {'val_OrigRecLoss': 0.00296, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.17841, 'val_kl_Loss_FC': 1e-05}
119 saved {'val_OrigRecLoss': 0.00296, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 0.18148, 'val_kl_Loss_FC': 0.0}
120 saved {'val_OrigRecLoss': 0.00295, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.18167, 'val_kl_Loss_FC': 0.0}
121 not saved {'val_OrigRecLoss': 0.00296, 'val_FeatRecLoss': 0.00115, 'val_kl_Loss_Z': 0.19146, 'val_kl_Loss_FC': 0.0}
122 saved {'val_OrigRecLoss': 0.00294, 'val_FeatRecLoss': 0.00115, 'val_kl_Loss_Z': 0.19062, 'val_kl_Loss_FC': 0.0}
123 saved {'val_OrigRecLoss': 0.00293, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 0.18913, 'val_kl_Loss_FC': 0.0}
124 saved {'val_OrigRecLoss': 0.00293, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.18657, 'val_kl_Loss_FC': 1e-05}
125 saved {'val_OrigRecLoss': 0.00292, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 0.1896, 'val_kl_Loss_FC': 0.0}
126 saved {'val_OrigRecLoss': 0.00291, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.19563, 'val_kl_Loss_FC': 1e-05}
127 saved {'val_OrigRecLoss': 0.00291, 'val_FeatRecLoss': 0.00115, 'val_kl_Loss_Z': 0.18957, 'val_kl_Loss_FC': 0.0}
