72 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 1.94562}
73 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 1.90982}
74 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 2.00723}
75 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 1.92194}
76 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 1.84384}
77 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 1.8155}
78 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 1.97906}
79 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 1.8499}
80 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 1.85248}
81 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 1.80977}
82 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 1.94568}
83 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 1.79448}
84 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 1.73439}
85 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 1.72528}
86 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 1.82279}
87 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 1.68745}
88 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 1.65361}
89 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 1.9746}
90 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 1.67204}
91 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 1.60033}
92 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 1.58775}
93 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 1.54207}
94 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 1.55499}
95 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 1.51164}
96 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 1.50958}
97 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 1.52023}
98 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 1.47005}
99 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 1.42757}
100 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 1.46141}
