100 not saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 0.25064}
101 not saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_Z': 0.25592}
102 not saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.24555}
103 saved {'val_OrigRecLoss': 0.00319, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 0.23923}
104 not saved {'val_OrigRecLoss': 0.00319, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.25499}
105 saved {'val_OrigRecLoss': 0.00319, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 0.25232}
106 saved {'val_OrigRecLoss': 0.00319, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.29636}
107 not saved {'val_OrigRecLoss': 0.00319, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.26493}
108 saved {'val_OrigRecLoss': 0.00319, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.27206}
109 saved {'val_OrigRecLoss': 0.00319, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 0.26662}
110 not saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 0.27583}
111 not saved {'val_OrigRecLoss': 0.00319, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.27827}
112 not saved {'val_OrigRecLoss': 0.00324, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 0.26475}
113 not saved {'val_OrigRecLoss': 0.00319, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.26762}
114 not saved {'val_OrigRecLoss': 0.00319, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.28389}
115 saved {'val_OrigRecLoss': 0.00319, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 0.26779}
116 not saved {'val_OrigRecLoss': 0.00319, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.27952}
117 saved {'val_OrigRecLoss': 0.00318, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 0.27702}
118 not saved {'val_OrigRecLoss': 0.00319, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.26141}
119 saved {'val_OrigRecLoss': 0.00318, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.28016}
120 saved {'val_OrigRecLoss': 0.00318, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.26316}
