Type,Source,Hyperparameter,Setting,mean,std,max,min,n,IscoreType,MetricType
ART,Mimic,$\zeta$,2,0.571907156578645,0.07436320486946922,0.6491273815697063,0.5007752993927375,3,MP,fft
ART,VitalDB,$\zeta$,1,0.7517677263606308,0.04329118569718566,0.8005934217992494,0.7180723489338734,3,MP,fft
ART,VitalDB,$\zeta$,2,0.6854368753054291,0.09107682593738785,0.7830836139324424,0.6027930380847505,3,MP,fft
II,Mimic,$\zeta$,1,0.45963150224909,0.027321717931637745,0.47602963083432603,0.42809143744422906,3,MP,fft
II,Mimic,$\zeta$,2,0.5584339463213285,0.29617019075631407,0.8999102659209113,0.3715024466197695,3,MP,fft
II,VitalDB,$\zeta$,1,0.5551387344332452,0.04048270844042531,0.5845389427007659,0.508965300351062,3,MP,fft
II,VitalDB,$\zeta$,2,0.3823551583274627,0.007418062841681394,0.38714216628382314,0.3738101445799299,3,MP,fft
ART,Mimic,$J$,30,0.6322535840653192,0.08970792981921662,0.6910014062779515,0.5007752993927375,4,MP,fft
ART,Mimic,$J$,50,0.6388065229740684,0.10322024359333862,0.7117942571746454,0.5658187887734913,2,MP,fft
ART,VitalDB,$J$,30,0.710146602324959,0.0766141320306,0.7830836139324424,0.6027930380847505,4,MP,fft
ART,VitalDB,$J$,50,0.7355136978491719,0.0920366282456968,0.8005934217992494,0.6704339738990943,2,MP,fft
II,Mimic,$J$,30,0.5519801151556928,0.2338825996727055,0.8999102659209113,0.40388912642330477,4,MP,fft
II,Mimic,$J$,50,0.4231379425442422,0.07302361863624997,0.4747734384687149,0.3715024466197695,2,MP,fft
II,VitalDB,$J$,30,0.4633568879375982,0.10124299118932349,0.5845389427007659,0.3738101445799299,4,MP,fft
II,VitalDB,$J$,50,0.4795270632658654,0.1306519742704454,0.5719119602479077,0.38714216628382314,2,MP,fft
ART,Mimic,$C$,500,0.5944427742068095,0.13246581323530093,0.6881102490208815,0.5007752993927375,2,MP,fft
ART,Mimic,$C$,800,0.6544354584489487,0.06457086586692541,0.7117942571746454,0.5658187887734913,4,MP,fft
ART,VitalDB,$C$,500,0.6604326935093119,0.08151478243192671,0.7180723489338734,0.6027930380847505,2,MP,fft
ART,VitalDB,$C$,800,0.747687104494889,0.058143882632784194,0.8005934217992494,0.6704339738990943,4,MP,fft
II,Mimic,$C$,500,0.6879699483776187,0.2997288714833848,0.8999102659209113,0.47602963083432603,2,MP,fft
II,Mimic,$C$,800,0.4195641122390046,0.04349871208940862,0.4747734384687149,0.3715024466197695,4,MP,fft
II,VitalDB,$C$,500,0.48532605340970053,0.14030821359764503,0.5845389427007659,0.38611316411863517,2,MP,fft
II,VitalDB,$C$,800,0.46045739286568066,0.09601736954532643,0.5719119602479077,0.3738101445799299,4,MP,fft
ART,Mimic,$\zeta$,1,0.9031948043328327,0.01006773513176372,0.9123489533254712,0.8924120503532674,3,AC,fft
ART,Mimic,$\zeta$,2,0.7506987410413135,0.041564256532900565,0.7899896533620138,0.7071837315150528,3,AC,fft
ART,VitalDB,$\zeta$,1,0.9142375558340544,0.017481055044284172,0.9299792755329964,0.8954243022267602,3,AC,fft
ART,VitalDB,$\zeta$,2,0.7908548860667248,0.06413946214793914,0.8446106181034141,0.7198565989315474,3,AC,fft
II,Mimic,$\zeta$,1,0.8843229619612267,0.00826646714563148,0.892143621870355,0.875673176551748,3,AC,fft
II,Mimic,$\zeta$,2,0.8001434378676625,0.037731647428287655,0.8398022331023678,0.764691550434298,3,AC,fft
II,VitalDB,$\zeta$,1,0.8295904408414131,0.03938724273546624,0.8652393048451529,0.7873073955972785,3,AC,fft
II,VitalDB,$\zeta$,2,0.7849561179955763,0.006756131434443623,0.7904456963405043,0.777410942468281,3,AC,fft
ART,Mimic,$J$,30,0.8374183738219065,0.07679820552905763,0.9123489533254712,0.7549228382468738,4,AC,fft
ART,Mimic,$J$,50,0.8060035704174062,0.13975235640723266,0.9048234093197597,0.7071837315150528,2,AC,fft
ART,VitalDB,$J$,30,0.8663603628094485,0.049356204553707664,0.9173090897424067,0.808097441165213,4,AC,fft
ART,VitalDB,$J$,50,0.8249179372322719,0.14857916950595249,0.9299792755329964,0.7198565989315474,2,AC,fft
II,Mimic,$J$,30,0.8321112197306808,0.061523852743160724,0.892143621870355,0.764691550434298,4,AC,fft
II,Mimic,$J$,50,0.8624771602819725,0.03206718954321932,0.8851520874615773,0.8398022331023678,2,AC,fft
II,VitalDB,$J$,30,0.7969886688313277,0.026558200570660398,0.8362246220818077,0.777410942468281,4,AC,fft
II,VitalDB,$J$,50,0.8278425005928286,0.05288706776304883,0.8652393048451529,0.7904456963405043,2,AC,fft
ART,Mimic,$C$,500,0.8511693033437424,0.08652109074539957,0.9123489533254712,0.7899896533620138,2,AC,fft
ART,Mimic,$C$,800,0.8148355073587384,0.09881696090033551,0.9048234093197597,0.7071837315150528,4,AC,fft
ART,VitalDB,$C$,500,0.8517608716959866,0.061749415636355484,0.8954243022267602,0.808097441165213,2,AC,fft
ART,VitalDB,$C$,800,0.8529388955775912,0.09636562306611511,0.9299792755329964,0.7198565989315474,4,AC,fft
II,Mimic,$C$,500,0.835804853309035,0.056382323438919295,0.875673176551748,0.7959365300663219,2,AC,fft
II,Mimic,$C$,800,0.8454473732171495,0.05862415455471264,0.892143621870355,0.764691550434298,4,AC,fft
II,VitalDB,$C$,500,0.787159555387611,0.000209077629575765,0.7873073955972785,0.7870117151779435,2,AC,fft
II,VitalDB,$C$,800,0.8173301414339365,0.04069645837070989,0.8652393048451529,0.777410942468281,4,AC,fft
ART,Mimic,$\zeta$,1,0.5989166818900873,0.031162893851966633,0.6264298450887751,0.5650753961273578,3,SS,fft
ART,Mimic,$\zeta$,2,0.6190784932124881,0.04274600467225849,0.65107775846619,0.5705326444790271,3,SS,fft
ART,VitalDB,$\zeta$,1,0.7069592999986547,0.01340247557344122,0.7185476471892505,0.692282052130373,3,SS,fft
ART,VitalDB,$\zeta$,2,0.7218392767901468,0.018911993509233758,0.7416191935468968,0.7039349769968251,3,SS,fft
II,Mimic,$\zeta$,1,0.38974030960545997,0.011830279228599978,0.402850711210495,0.3798619275044476,3,SS,fft
II,Mimic,$\zeta$,2,0.29448737254220275,0.1236880663075095,0.3773734922719659,0.1523161829716705,3,SS,fft
II,VitalDB,$\zeta$,1,0.42307437461938074,0.009554910334841495,0.43106001159321095,0.41248849060128,3,SS,fft
II,VitalDB,$\zeta$,2,0.4878260108339359,0.015312220414733234,0.49883398330346085,0.4703394330342402,3,SS,fft
ART,Mimic,$J$,30,0.6133212631220303,0.03412468769988037,0.65107775846619,0.5705326444790271,4,SS,fft
ART,Mimic,$J$,50,0.6003502364098026,0.049886157537978044,0.6356250766922472,0.5650753961273578,2,SS,fft
ART,VitalDB,$J$,30,0.7140959674658363,0.02126372541711295,0.7416191935468968,0.692282052130373,4,SS,fft
ART,VitalDB,$J$,50,0.7150059302515295,0.0070112884038102535,0.7199636598267183,0.7100482006763406,2,SS,fft
II,Mimic,$J$,30,0.3297621691388922,0.11876583869641426,0.402850711210495,0.1523161829716705,4,SS,fft
II,Mimic,$J$,50,0.36681718494370974,0.018448051847060994,0.3798619275044476,0.3537724423829719,2,SS,fft
II,VitalDB,$J$,30,0.45782542793312464,0.045098207717388525,0.49883398330346085,0.41248849060128,4,SS,fft
II,VitalDB,$J$,50,0.45069972231372557,0.027774745262036053,0.4703394330342402,0.43106001159321095,2,SS,fft
ART,Mimic,$C$,500,0.6387538017774825,0.017428706691268694,0.65107775846619,0.6264298450887751,2,SS,fft
ART,Mimic,$C$,800,0.5941194804381903,0.032895719168728854,0.6356250766922472,0.5650753961273578,4,SS,fft
ART,VitalDB,$C$,500,0.698108514563599,0.008239862193725614,0.7039349769968251,0.692282052130373,2,SS,fft
ART,VitalDB,$C$,800,0.7225446753098015,0.01344912635282061,0.7416191935468968,0.7100482006763406,4,SS,fft
II,Mimic,$C$,500,0.269412236536554,0.16559882705182466,0.3865082901014375,0.1523161829716705,2,SS,fft
II,Mimic,$C$,800,0.3784646433424701,0.020062636150949317,0.402850711210495,0.3537724423829719,4,SS,fft
II,VitalDB,$C$,500,0.4533965533826933,0.05785273719588471,0.4943046161641066,0.41248849060128,2,SS,fft
II,VitalDB,$C$,800,0.4564770123986408,0.03454991989881818,0.49883398330346085,0.4256746216636512,4,SS,fft
