MetricType,Model,Source,Type,Depth,LatDim,Comp,MP,AC,SS,RA,ISCOREam,ISCOREgm,ISCOREhm
fft,DiffWave_ART_VitalDB,VitalDB,ART,,0,,0.9294332958673286,0.031121528506150138,0.7953993012378924,0.9636547851379365,0.6799022276873269,0.3858748362484418,0.11266663518763669
fft,DiffWave_II_Mimic,Mimic,II,,0,,0.9196766007328048,0.03135144592258606,0.8832316023928158,0.8796568365035116,0.6784791213879295,0.3868745387492918,0.11346614166571826
fft,DiffWave_II_VitalDB,VitalDB,II,,0,,0.7205488350665294,0.028483544034703795,0.8516591093494666,0.8929479464989093,0.6234098587374023,0.35345761775130147,0.10311966228013664
fft,FACVAE_ART_30_Mimic,Mimic,ART,,30,,0.07642864616006695,0.5782467674226868,0.6200484016087566,0.9865564690907744,0.5653200710705713,0.40548914288627713,0.22935952255046158
fft,FACVAE_ART_30_VitalDB,VitalDB,ART,,30,,0.046037151463035664,0.5775546507908293,0.7114059987363708,0.9763943730475932,0.5778480435094573,0.36864731918231436,0.15454237619862735
fft,FACVAE_II_30_Mimic,Mimic,II,,30,,0.008289236521360044,0.6234428178981914,0.3851333352211507,0.4600398784873691,0.3692263170320178,0.17395200432509722,0.03149293938780348
fft,FACVAE_II_30_VitalDB,VitalDB,II,,30,,0.02030296941607246,0.724390826432112,0.6374902460604321,0.8608391449588206,0.5607557967168593,0.2997312421391727,0.07495597557047222
fft,TCVAE_ART_30_Mimic,Mimic,ART,,30,,0.020145054744604818,0.6150605549847382,0.5962910330677637,0.9835878630917204,0.5537711264722067,0.29197081480945947,0.07412960276642235
fft,TCVAE_ART_30_VitalDB,VitalDB,ART,,30,,0.07313237870949107,0.42543402284354825,0.7198942181173806,0.967054591087559,0.5463788026894947,0.38363250589408504,0.21683113285717176
fft,TCVAE_II_30_Mimic,Mimic,II,,30,,0.1433192649002788,0.7438135472839409,0.344908217684989,0.0878352993241781,0.32996908229834665,0.23838851093095528,0.17694324708169495
fft,TCVAE_II_30_VitalDB,VitalDB,II,,30,,0.110854524621673,0.5369960052347631,0.5794122950776187,0.8289667321252863,0.5140573892648352,0.41120872589134755,0.2895351019768606
fft,VDVAE_ART_30_Mimic,Mimic,ART,,30,,0.033308474232332186,0.44921577003230573,0.6082626472867434,0.9872831800083438,0.5195175178899313,0.3078829611336595,0.1145954530976559
fft,VDVAE_ART_30_VitalDB,VitalDB,ART,,30,,0.03436456960645218,0.5361776455853702,0.7187107005069706,0.974795695291376,0.5660121527475422,0.3370713430567021,0.11982495227365514
fft,VDVAE_II_30_Mimic,Mimic,II,,30,,0.04360309256675721,0.5473071324352221,0.4288974731082549,0.4815249645936481,0.3753331656759706,0.2649599139541265,0.13712917953813913
fft,VDVAE_II_30_VitalDB,VitalDB,II,,30,,0.02597566651267169,0.7304636055275259,0.6124931975281533,0.8772644768873741,0.5615492366139312,0.3177600345457577,0.0938105216758955
