85 not saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.61344}
86 not saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.55945}
87 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.47325}
88 not saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.39781}
89 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.33699}
90 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.28401}
91 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.23835}
92 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.22484}
93 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.2006}
94 not saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.19554}
95 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.16226}
96 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.15086}
97 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.14199}
98 saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.12447}
99 saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.10237}
100 not saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 1.09162}
101 not saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 1.06758}
102 saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 1.04442}
103 not saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 1.02106}
104 not saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.05287}
105 not saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.00072}
106 saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.99268}
107 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.96322}
108 not saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 0.94276}
109 not saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.92344}
110 not saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.90953}
111 saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 0.89462}
112 saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.88451}
113 not saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.87132}
114 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.86628}
115 not saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.83993}
116 not saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.83605}
117 saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.8364}
118 not saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 0.81025}
119 not saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 0.81271}
120 not saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 0.79723}
121 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.79539}
122 saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 0.77936}
123 saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.77712}
124 saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.78869}
125 saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.77822}
126 not saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.7664}
127 saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.77035}
128 not saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.76102}
129 saved {'val_OrigRecLoss': 0.01139, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.76299}
130 not saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.82552}
131 saved {'val_OrigRecLoss': 0.01139, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 0.77352}
132 saved {'val_OrigRecLoss': 0.01139, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 0.81217}
133 saved {'val_OrigRecLoss': 0.01138, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.82171}
134 saved {'val_OrigRecLoss': 0.01138, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 0.83257}
135 not saved {'val_OrigRecLoss': 0.01139, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.82425}
136 not saved {'val_OrigRecLoss': 0.01138, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.80926}
137 saved {'val_OrigRecLoss': 0.01137, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.80811}
138 not saved {'val_OrigRecLoss': 0.01138, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.80848}
139 not saved {'val_OrigRecLoss': 0.01138, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.80327}
140 saved {'val_OrigRecLoss': 0.01137, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.78942}
141 saved {'val_OrigRecLoss': 0.01135, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.77417}
142 saved {'val_OrigRecLoss': 0.01134, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.76737}
143 not saved {'val_OrigRecLoss': 0.01138, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.77449}
144 saved {'val_OrigRecLoss': 0.01133, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.79683}
145 saved {'val_OrigRecLoss': 0.01133, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.76738}
146 saved {'val_OrigRecLoss': 0.0113, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.75257}
147 saved {'val_OrigRecLoss': 0.01125, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.74512}
148 not saved {'val_OrigRecLoss': 0.01157, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.74247}
149 saved {'val_OrigRecLoss': 0.01124, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 0.76289}
