107 not saved {'val_OrigRecLoss': 0.00126, 'val_FeatRecLoss': 0.00071, 'val_kl_Loss_FC': 1e-05}
108 not saved {'val_OrigRecLoss': 0.00136, 'val_FeatRecLoss': 0.0007, 'val_kl_Loss_FC': 0.0}
109 saved {'val_OrigRecLoss': 0.00123, 'val_FeatRecLoss': 0.0007, 'val_kl_Loss_FC': 0.0}
110 not saved {'val_OrigRecLoss': 0.00128, 'val_FeatRecLoss': 0.00071, 'val_kl_Loss_FC': 0.0}
111 not saved {'val_OrigRecLoss': 0.00125, 'val_FeatRecLoss': 0.00071, 'val_kl_Loss_FC': 1e-05}
112 saved {'val_OrigRecLoss': 0.00122, 'val_FeatRecLoss': 0.00073, 'val_kl_Loss_FC': 0.0}
113 not saved {'val_OrigRecLoss': 0.00128, 'val_FeatRecLoss': 0.00073, 'val_kl_Loss_FC': 1e-05}
114 saved {'val_OrigRecLoss': 0.00121, 'val_FeatRecLoss': 0.00069, 'val_kl_Loss_FC': 2e-05}
115 saved {'val_OrigRecLoss': 0.00121, 'val_FeatRecLoss': 0.0007, 'val_kl_Loss_FC': 1e-05}
116 not saved {'val_OrigRecLoss': 0.00124, 'val_FeatRecLoss': 0.00071, 'val_kl_Loss_FC': 1e-05}
117 saved {'val_OrigRecLoss': 0.00119, 'val_FeatRecLoss': 0.0007, 'val_kl_Loss_FC': 0.0}
118 saved {'val_OrigRecLoss': 0.00119, 'val_FeatRecLoss': 0.00068, 'val_kl_Loss_FC': 1e-05}
119 not saved {'val_OrigRecLoss': 0.00121, 'val_FeatRecLoss': 0.00068, 'val_kl_Loss_FC': 1e-05}
120 not saved {'val_OrigRecLoss': 0.00124, 'val_FeatRecLoss': 0.00067, 'val_kl_Loss_FC': 0.0}
121 not saved {'val_OrigRecLoss': 0.00128, 'val_FeatRecLoss': 0.00068, 'val_kl_Loss_FC': 0.0}
122 not saved {'val_OrigRecLoss': 0.00122, 'val_FeatRecLoss': 0.00074, 'val_kl_Loss_FC': 0.0}
123 saved {'val_OrigRecLoss': 0.00118, 'val_FeatRecLoss': 0.00069, 'val_kl_Loss_FC': 0.0}
124 saved {'val_OrigRecLoss': 0.00117, 'val_FeatRecLoss': 0.00068, 'val_kl_Loss_FC': 1e-05}
125 not saved {'val_OrigRecLoss': 0.00124, 'val_FeatRecLoss': 0.00068, 'val_kl_Loss_FC': 1e-05}
