77 not saved {'val_OrigRecLoss': 0.00145, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.61605, 'val_kl_Loss_FC': 1e-05}
78 saved {'val_OrigRecLoss': 0.00142, 'val_FeatRecLoss': 0.00294, 'val_kl_Loss_Z': 0.59273, 'val_kl_Loss_FC': 0.0}
79 not saved {'val_OrigRecLoss': 0.00141, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.61387, 'val_kl_Loss_FC': 1e-05}
80 not saved {'val_OrigRecLoss': 0.00142, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.58771, 'val_kl_Loss_FC': 1e-05}
81 not saved {'val_OrigRecLoss': 0.00146, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.5772, 'val_kl_Loss_FC': 1e-05}
82 not saved {'val_OrigRecLoss': 0.00139, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.57762, 'val_kl_Loss_FC': 1e-05}
83 not saved {'val_OrigRecLoss': 0.00136, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.5911, 'val_kl_Loss_FC': 2e-05}
84 not saved {'val_OrigRecLoss': 0.00147, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.60119, 'val_kl_Loss_FC': 1e-05}
85 not saved {'val_OrigRecLoss': 0.00141, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.58723, 'val_kl_Loss_FC': 1e-05}
86 not saved {'val_OrigRecLoss': 0.00136, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.69452, 'val_kl_Loss_FC': 2e-05}
87 saved {'val_OrigRecLoss': 0.00137, 'val_FeatRecLoss': 0.00291, 'val_kl_Loss_Z': 1.33933, 'val_kl_Loss_FC': 0.0}
88 saved {'val_OrigRecLoss': 0.0014, 'val_FeatRecLoss': 0.00284, 'val_kl_Loss_Z': 1.57303, 'val_kl_Loss_FC': 4e-05}
89 saved {'val_OrigRecLoss': 0.0014, 'val_FeatRecLoss': 0.00276, 'val_kl_Loss_Z': 1.7184, 'val_kl_Loss_FC': 1e-05}
90 saved {'val_OrigRecLoss': 0.00137, 'val_FeatRecLoss': 0.00272, 'val_kl_Loss_Z': 2.09731, 'val_kl_Loss_FC': 1e-05}
