94 not saved {'val_OrigRecLoss': 0.00168, 'val_FeatRecLoss': 0.00096, 'val_kl_Loss_FC': 0.0}
95 saved {'val_OrigRecLoss': 0.00165, 'val_FeatRecLoss': 0.00094, 'val_kl_Loss_FC': 1e-05}
96 saved {'val_OrigRecLoss': 0.00163, 'val_FeatRecLoss': 0.00092, 'val_kl_Loss_FC': 0.0}
97 saved {'val_OrigRecLoss': 0.00162, 'val_FeatRecLoss': 0.0009, 'val_kl_Loss_FC': 0.0}
98 not saved {'val_OrigRecLoss': 0.00164, 'val_FeatRecLoss': 0.00092, 'val_kl_Loss_FC': 0.0}
99 not saved {'val_OrigRecLoss': 0.00175, 'val_FeatRecLoss': 0.00094, 'val_kl_Loss_FC': 0.0}
100 not saved {'val_OrigRecLoss': 0.00173, 'val_FeatRecLoss': 0.00091, 'val_kl_Loss_FC': 0.0}
101 not saved {'val_OrigRecLoss': 0.00162, 'val_FeatRecLoss': 0.0009, 'val_kl_Loss_FC': 1e-05}
102 not saved {'val_OrigRecLoss': 0.00171, 'val_FeatRecLoss': 0.00091, 'val_kl_Loss_FC': 0.0}
103 saved {'val_OrigRecLoss': 0.00159, 'val_FeatRecLoss': 0.00091, 'val_kl_Loss_FC': 1e-05}
104 not saved {'val_OrigRecLoss': 0.00167, 'val_FeatRecLoss': 0.0009, 'val_kl_Loss_FC': 1e-05}
105 not saved {'val_OrigRecLoss': 0.00169, 'val_FeatRecLoss': 0.00091, 'val_kl_Loss_FC': 1e-05}
106 not saved {'val_OrigRecLoss': 0.00164, 'val_FeatRecLoss': 0.0009, 'val_kl_Loss_FC': 1e-05}
107 not saved {'val_OrigRecLoss': 0.00162, 'val_FeatRecLoss': 0.00091, 'val_kl_Loss_FC': 0.0}
108 saved {'val_OrigRecLoss': 0.00156, 'val_FeatRecLoss': 0.00089, 'val_kl_Loss_FC': 0.0}
109 saved {'val_OrigRecLoss': 0.00155, 'val_FeatRecLoss': 0.00092, 'val_kl_Loss_FC': 1e-05}
110 not saved {'val_OrigRecLoss': 0.00159, 'val_FeatRecLoss': 0.00091, 'val_kl_Loss_FC': 0.0}
111 not saved {'val_OrigRecLoss': 0.00168, 'val_FeatRecLoss': 0.00087, 'val_kl_Loss_FC': 1e-05}
112 not saved {'val_OrigRecLoss': 0.00161, 'val_FeatRecLoss': 0.00087, 'val_kl_Loss_FC': 1e-05}
113 saved {'val_OrigRecLoss': 0.00154, 'val_FeatRecLoss': 0.00091, 'val_kl_Loss_FC': 0.0}
114 not saved {'val_OrigRecLoss': 0.00154, 'val_FeatRecLoss': 0.00087, 'val_kl_Loss_FC': 0.0}
115 not saved {'val_OrigRecLoss': 0.00162, 'val_FeatRecLoss': 0.0009, 'val_kl_Loss_FC': 0.0}
116 not saved {'val_OrigRecLoss': 0.00155, 'val_FeatRecLoss': 0.00092, 'val_kl_Loss_FC': 1e-05}
117 saved {'val_OrigRecLoss': 0.0015, 'val_FeatRecLoss': 0.00086, 'val_kl_Loss_FC': 0.0}
118 not saved {'val_OrigRecLoss': 0.00154, 'val_FeatRecLoss': 0.00085, 'val_kl_Loss_FC': 1e-05}
119 saved {'val_OrigRecLoss': 0.00149, 'val_FeatRecLoss': 0.00084, 'val_kl_Loss_FC': 0.0}
120 not saved {'val_OrigRecLoss': 0.00152, 'val_FeatRecLoss': 0.00087, 'val_kl_Loss_FC': 0.0}
121 not saved {'val_OrigRecLoss': 0.0015, 'val_FeatRecLoss': 0.0009, 'val_kl_Loss_FC': 0.0}
122 not saved {'val_OrigRecLoss': 0.00161, 'val_FeatRecLoss': 0.00086, 'val_kl_Loss_FC': 0.0}
123 saved {'val_OrigRecLoss': 0.00148, 'val_FeatRecLoss': 0.00086, 'val_kl_Loss_FC': 1e-05}
124 not saved {'val_OrigRecLoss': 0.0015, 'val_FeatRecLoss': 0.00085, 'val_kl_Loss_FC': 1e-05}
125 not saved {'val_OrigRecLoss': 0.00153, 'val_FeatRecLoss': 0.00085, 'val_kl_Loss_FC': 0.0}
126 saved {'val_OrigRecLoss': 0.00144, 'val_FeatRecLoss': 0.00086, 'val_kl_Loss_FC': 1e-05}
