52 not saved {'val_OrigRecLoss': 0.00192, 'val_FeatRecLoss': 0.00257, 'val_kl_Loss_Z': 0.73882, 'val_kl_Loss_FC': 1e-05}
53 not saved {'val_OrigRecLoss': 0.00186, 'val_FeatRecLoss': 0.00256, 'val_kl_Loss_Z': 0.74602, 'val_kl_Loss_FC': 1e-05}
54 not saved {'val_OrigRecLoss': 0.00189, 'val_FeatRecLoss': 0.00257, 'val_kl_Loss_Z': 0.72615, 'val_kl_Loss_FC': 0.0}
55 not saved {'val_OrigRecLoss': 0.00193, 'val_FeatRecLoss': 0.00262, 'val_kl_Loss_Z': 4.04325, 'val_kl_Loss_FC': 0.0}
56 not saved {'val_OrigRecLoss': 0.00178, 'val_FeatRecLoss': 0.00256, 'val_kl_Loss_Z': 0.97232, 'val_kl_Loss_FC': 1e-05}
57 saved {'val_OrigRecLoss': 0.00176, 'val_FeatRecLoss': 0.00256, 'val_kl_Loss_Z': 0.80409, 'val_kl_Loss_FC': 0.0}
58 not saved {'val_OrigRecLoss': 0.0018, 'val_FeatRecLoss': 0.00256, 'val_kl_Loss_Z': 0.7668, 'val_kl_Loss_FC': 1e-05}
59 not saved {'val_OrigRecLoss': 0.00171, 'val_FeatRecLoss': 0.00256, 'val_kl_Loss_Z': 0.73769, 'val_kl_Loss_FC': 1e-05}
60 not saved {'val_OrigRecLoss': 0.00172, 'val_FeatRecLoss': 0.00257, 'val_kl_Loss_Z': 0.73285, 'val_kl_Loss_FC': 1e-05}
61 saved {'val_OrigRecLoss': 0.00174, 'val_FeatRecLoss': 0.00256, 'val_kl_Loss_Z': 0.70576, 'val_kl_Loss_FC': 0.0}
62 not saved {'val_OrigRecLoss': 0.00169, 'val_FeatRecLoss': 0.00256, 'val_kl_Loss_Z': 0.71001, 'val_kl_Loss_FC': 1e-05}
63 not saved {'val_OrigRecLoss': 0.00159, 'val_FeatRecLoss': 0.00256, 'val_kl_Loss_Z': 0.81196, 'val_kl_Loss_FC': 0.0}
64 saved {'val_OrigRecLoss': 0.00162, 'val_FeatRecLoss': 0.00254, 'val_kl_Loss_Z': 1.00559, 'val_kl_Loss_FC': 0.0}
65 saved {'val_OrigRecLoss': 0.00156, 'val_FeatRecLoss': 0.00245, 'val_kl_Loss_Z': 1.12146, 'val_kl_Loss_FC': 1e-05}
66 saved {'val_OrigRecLoss': 0.00154, 'val_FeatRecLoss': 0.0024, 'val_kl_Loss_Z': 1.50038, 'val_kl_Loss_FC': 1e-05}
67 saved {'val_OrigRecLoss': 0.00153, 'val_FeatRecLoss': 0.00239, 'val_kl_Loss_Z': 1.5724, 'val_kl_Loss_FC': 0.0}
68 saved {'val_OrigRecLoss': 0.00159, 'val_FeatRecLoss': 0.00235, 'val_kl_Loss_Z': 1.65666, 'val_kl_Loss_FC': 1e-05}
69 saved {'val_OrigRecLoss': 0.0016, 'val_FeatRecLoss': 0.00232, 'val_kl_Loss_Z': 2.196, 'val_kl_Loss_FC': 1e-05}
70 saved {'val_OrigRecLoss': 0.00153, 'val_FeatRecLoss': 0.00229, 'val_kl_Loss_Z': 2.81951, 'val_kl_Loss_FC': 0.0}
71 saved {'val_OrigRecLoss': 0.00147, 'val_FeatRecLoss': 0.00222, 'val_kl_Loss_Z': 3.61783, 'val_kl_Loss_FC': 0.0}
72 saved {'val_OrigRecLoss': 0.00155, 'val_FeatRecLoss': 0.00211, 'val_kl_Loss_Z': 4.67804, 'val_kl_Loss_FC': 1e-05}
73 saved {'val_OrigRecLoss': 0.00146, 'val_FeatRecLoss': 0.00198, 'val_kl_Loss_Z': 5.51898, 'val_kl_Loss_FC': 1e-05}
74 saved {'val_OrigRecLoss': 0.00147, 'val_FeatRecLoss': 0.0018, 'val_kl_Loss_Z': 6.35262, 'val_kl_Loss_FC': 1e-05}
75 saved {'val_OrigRecLoss': 0.00143, 'val_FeatRecLoss': 0.00159, 'val_kl_Loss_Z': 7.15714, 'val_kl_Loss_FC': 1e-05}
76 saved {'val_OrigRecLoss': 0.00157, 'val_FeatRecLoss': 0.00151, 'val_kl_Loss_Z': 7.47972, 'val_kl_Loss_FC': 0.0}
77 saved {'val_OrigRecLoss': 0.00146, 'val_FeatRecLoss': 0.00143, 'val_kl_Loss_Z': 7.75476, 'val_kl_Loss_FC': 0.0}
78 not saved {'val_OrigRecLoss': 0.00147, 'val_FeatRecLoss': 0.00136, 'val_kl_Loss_Z': 8.10892, 'val_kl_Loss_FC': 0.0}
79 saved {'val_OrigRecLoss': 0.0014, 'val_FeatRecLoss': 0.00131, 'val_kl_Loss_Z': 8.2114, 'val_kl_Loss_FC': 0.0}
80 not saved {'val_OrigRecLoss': 0.00144, 'val_FeatRecLoss': 0.00124, 'val_kl_Loss_Z': 8.52004, 'val_kl_Loss_FC': 0.0}
81 not saved {'val_OrigRecLoss': 0.00161, 'val_FeatRecLoss': 0.00113, 'val_kl_Loss_Z': 8.67392, 'val_kl_Loss_FC': 0.0}
82 saved {'val_OrigRecLoss': 0.00138, 'val_FeatRecLoss': 0.00102, 'val_kl_Loss_Z': 8.87479, 'val_kl_Loss_FC': 0.0}
83 saved {'val_OrigRecLoss': 0.00138, 'val_FeatRecLoss': 0.00098, 'val_kl_Loss_Z': 8.98796, 'val_kl_Loss_FC': 1e-05}
84 not saved {'val_OrigRecLoss': 0.00152, 'val_FeatRecLoss': 0.00098, 'val_kl_Loss_Z': 9.15435, 'val_kl_Loss_FC': 0.0}
85 not saved {'val_OrigRecLoss': 0.00142, 'val_FeatRecLoss': 0.00086, 'val_kl_Loss_Z': 9.48026, 'val_kl_Loss_FC': 1e-05}
