105 not saved {'val_OrigRecLoss': 0.00099, 'val_FeatRecLoss': 0.00043, 'val_kl_Loss_FC': 3e-05}
106 not saved {'val_OrigRecLoss': 0.00098, 'val_FeatRecLoss': 0.00042, 'val_kl_Loss_FC': 2e-05}
107 saved {'val_OrigRecLoss': 0.00092, 'val_FeatRecLoss': 0.00043, 'val_kl_Loss_FC': 1e-05}
108 saved {'val_OrigRecLoss': 0.00091, 'val_FeatRecLoss': 0.00042, 'val_kl_Loss_FC': 5e-05}
109 not saved {'val_OrigRecLoss': 0.00092, 'val_FeatRecLoss': 0.00041, 'val_kl_Loss_FC': 3e-05}
110 not saved {'val_OrigRecLoss': 0.00093, 'val_FeatRecLoss': 0.00042, 'val_kl_Loss_FC': 4e-05}
111 not saved {'val_OrigRecLoss': 0.00095, 'val_FeatRecLoss': 0.00041, 'val_kl_Loss_FC': 5e-05}
112 saved {'val_OrigRecLoss': 0.00091, 'val_FeatRecLoss': 0.00042, 'val_kl_Loss_FC': 0.00011}
113 not saved {'val_OrigRecLoss': 0.00093, 'val_FeatRecLoss': 0.00042, 'val_kl_Loss_FC': 8e-05}
114 saved {'val_OrigRecLoss': 0.0009, 'val_FeatRecLoss': 0.00041, 'val_kl_Loss_FC': 4e-05}
115 not saved {'val_OrigRecLoss': 0.00091, 'val_FeatRecLoss': 0.00041, 'val_kl_Loss_FC': 4e-05}
116 not saved {'val_OrigRecLoss': 0.00092, 'val_FeatRecLoss': 0.00041, 'val_kl_Loss_FC': 3e-05}
117 not saved {'val_OrigRecLoss': 0.00093, 'val_FeatRecLoss': 0.00041, 'val_kl_Loss_FC': 4e-05}
118 not saved {'val_OrigRecLoss': 0.00093, 'val_FeatRecLoss': 0.00042, 'val_kl_Loss_FC': 2e-05}
119 saved {'val_OrigRecLoss': 0.00087, 'val_FeatRecLoss': 0.00045, 'val_kl_Loss_FC': 1e-05}
120 not saved {'val_OrigRecLoss': 0.00091, 'val_FeatRecLoss': 0.00041, 'val_kl_Loss_FC': 2e-05}
121 not saved {'val_OrigRecLoss': 0.00091, 'val_FeatRecLoss': 0.00042, 'val_kl_Loss_FC': 3e-05}
122 saved {'val_OrigRecLoss': 0.00087, 'val_FeatRecLoss': 0.0004, 'val_kl_Loss_FC': 2e-05}
123 not saved {'val_OrigRecLoss': 0.00091, 'val_FeatRecLoss': 0.0004, 'val_kl_Loss_FC': 1e-05}
124 saved {'val_OrigRecLoss': 0.00087, 'val_FeatRecLoss': 0.00041, 'val_kl_Loss_FC': 1e-05}
125 saved {'val_OrigRecLoss': 0.00086, 'val_FeatRecLoss': 0.0004, 'val_kl_Loss_FC': 3e-05}
126 not saved {'val_OrigRecLoss': 0.00092, 'val_FeatRecLoss': 0.00041, 'val_kl_Loss_FC': 6e-05}
127 not saved {'val_OrigRecLoss': 0.00089, 'val_FeatRecLoss': 0.00041, 'val_kl_Loss_FC': 5e-05}
128 not saved {'val_OrigRecLoss': 0.0009, 'val_FeatRecLoss': 0.00042, 'val_kl_Loss_FC': 8e-05}
129 saved {'val_OrigRecLoss': 0.00086, 'val_FeatRecLoss': 0.0004, 'val_kl_Loss_FC': 9e-05}
130 not saved {'val_OrigRecLoss': 0.00092, 'val_FeatRecLoss': 0.0004, 'val_kl_Loss_FC': 2e-05}
131 not saved {'val_OrigRecLoss': 0.00086, 'val_FeatRecLoss': 0.0004, 'val_kl_Loss_FC': 4e-05}
132 not saved {'val_OrigRecLoss': 0.00087, 'val_FeatRecLoss': 0.0004, 'val_kl_Loss_FC': 7e-05}
