55 not saved {'val_OrigRecLoss': 0.00266, 'val_FeatRecLoss': 0.00601, 'val_kl_Loss_Z': 0.11066, 'val_kl_Loss_FC': 1e-05}
56 not saved {'val_OrigRecLoss': 0.00244, 'val_FeatRecLoss': 0.006, 'val_kl_Loss_Z': 0.11032, 'val_kl_Loss_FC': 0.0}
57 not saved {'val_OrigRecLoss': 0.00257, 'val_FeatRecLoss': 0.00602, 'val_kl_Loss_Z': 0.10844, 'val_kl_Loss_FC': 1e-05}
58 not saved {'val_OrigRecLoss': 0.00248, 'val_FeatRecLoss': 0.006, 'val_kl_Loss_Z': 0.10091, 'val_kl_Loss_FC': 0.0}
59 not saved {'val_OrigRecLoss': 0.00238, 'val_FeatRecLoss': 0.00603, 'val_kl_Loss_Z': 0.10107, 'val_kl_Loss_FC': 0.0}
60 not saved {'val_OrigRecLoss': 0.00233, 'val_FeatRecLoss': 0.00601, 'val_kl_Loss_Z': 0.09447, 'val_kl_Loss_FC': 0.0}
61 not saved {'val_OrigRecLoss': 0.00229, 'val_FeatRecLoss': 0.00601, 'val_kl_Loss_Z': 0.10761, 'val_kl_Loss_FC': 0.0}
62 not saved {'val_OrigRecLoss': 0.00244, 'val_FeatRecLoss': 0.00599, 'val_kl_Loss_Z': 0.12494, 'val_kl_Loss_FC': 0.0}
63 not saved {'val_OrigRecLoss': 0.00226, 'val_FeatRecLoss': 0.00601, 'val_kl_Loss_Z': 0.1098, 'val_kl_Loss_FC': 0.0}
64 not saved {'val_OrigRecLoss': 0.00257, 'val_FeatRecLoss': 0.006, 'val_kl_Loss_Z': 0.11265, 'val_kl_Loss_FC': 0.0}
65 not saved {'val_OrigRecLoss': 0.00221, 'val_FeatRecLoss': 0.00602, 'val_kl_Loss_Z': 0.09725, 'val_kl_Loss_FC': 0.0}
66 not saved {'val_OrigRecLoss': 0.00222, 'val_FeatRecLoss': 0.00598, 'val_kl_Loss_Z': 0.11668, 'val_kl_Loss_FC': 1e-05}
67 not saved {'val_OrigRecLoss': 0.00222, 'val_FeatRecLoss': 0.00601, 'val_kl_Loss_Z': 0.11355, 'val_kl_Loss_FC': 1e-05}
68 not saved {'val_OrigRecLoss': 0.0022, 'val_FeatRecLoss': 0.00605, 'val_kl_Loss_Z': 0.12432, 'val_kl_Loss_FC': 0.0}
69 not saved {'val_OrigRecLoss': 0.00217, 'val_FeatRecLoss': 0.00601, 'val_kl_Loss_Z': 0.11001, 'val_kl_Loss_FC': 0.0}
70 not saved {'val_OrigRecLoss': 0.00218, 'val_FeatRecLoss': 0.00599, 'val_kl_Loss_Z': 0.10343, 'val_kl_Loss_FC': 1e-05}
71 not saved {'val_OrigRecLoss': 0.00208, 'val_FeatRecLoss': 0.00603, 'val_kl_Loss_Z': 0.10094, 'val_kl_Loss_FC': 1e-05}
72 not saved {'val_OrigRecLoss': 0.00209, 'val_FeatRecLoss': 0.00601, 'val_kl_Loss_Z': 0.11134, 'val_kl_Loss_FC': 1e-05}
73 not saved {'val_OrigRecLoss': 0.00218, 'val_FeatRecLoss': 0.00599, 'val_kl_Loss_Z': 0.09816, 'val_kl_Loss_FC': 0.0}
