66 not saved {'val_OrigRecLoss': 0.00244, 'val_FeatRecLoss': 0.0052, 'val_kl_Loss_Z': 0.11831, 'val_kl_Loss_FC': 1e-05}
67 not saved {'val_OrigRecLoss': 0.00239, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_Z': 0.11004, 'val_kl_Loss_FC': 1e-05}
68 not saved {'val_OrigRecLoss': 0.00236, 'val_FeatRecLoss': 0.00522, 'val_kl_Loss_Z': 0.13821, 'val_kl_Loss_FC': 0.0}
69 not saved {'val_OrigRecLoss': 0.00237, 'val_FeatRecLoss': 0.0052, 'val_kl_Loss_Z': 0.11574, 'val_kl_Loss_FC': 1e-05}
70 not saved {'val_OrigRecLoss': 0.00237, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_Z': 0.10721, 'val_kl_Loss_FC': 0.0}
71 not saved {'val_OrigRecLoss': 0.00225, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_Z': 0.09832, 'val_kl_Loss_FC': 0.0}
72 not saved {'val_OrigRecLoss': 0.00243, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_Z': 0.11324, 'val_kl_Loss_FC': 1e-05}
73 not saved {'val_OrigRecLoss': 0.00228, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_Z': 0.09685, 'val_kl_Loss_FC': 0.0}
74 not saved {'val_OrigRecLoss': 0.00219, 'val_FeatRecLoss': 0.00522, 'val_kl_Loss_Z': 0.09921, 'val_kl_Loss_FC': 1e-05}
75 not saved {'val_OrigRecLoss': 0.00213, 'val_FeatRecLoss': 0.00522, 'val_kl_Loss_Z': 0.11063, 'val_kl_Loss_FC': 1e-05}
76 not saved {'val_OrigRecLoss': 0.00252, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_Z': 0.11565, 'val_kl_Loss_FC': 0.0}
77 not saved {'val_OrigRecLoss': 0.0022, 'val_FeatRecLoss': 0.00522, 'val_kl_Loss_Z': 0.11169, 'val_kl_Loss_FC': 0.0}
78 not saved {'val_OrigRecLoss': 0.00207, 'val_FeatRecLoss': 0.00522, 'val_kl_Loss_Z': 0.09956, 'val_kl_Loss_FC': 0.0}
79 not saved {'val_OrigRecLoss': 0.00203, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_Z': 0.1205, 'val_kl_Loss_FC': 1e-05}
80 not saved {'val_OrigRecLoss': 0.00205, 'val_FeatRecLoss': 0.00522, 'val_kl_Loss_Z': 0.11176, 'val_kl_Loss_FC': 0.0}
81 not saved {'val_OrigRecLoss': 0.00228, 'val_FeatRecLoss': 0.00523, 'val_kl_Loss_Z': 0.1188, 'val_kl_Loss_FC': 1e-05}
82 not saved {'val_OrigRecLoss': 0.0021, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_Z': 0.10924, 'val_kl_Loss_FC': 1e-05}
83 not saved {'val_OrigRecLoss': 0.00196, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_Z': 0.10212, 'val_kl_Loss_FC': 1e-05}
84 not saved {'val_OrigRecLoss': 0.00203, 'val_FeatRecLoss': 0.0052, 'val_kl_Loss_Z': 0.10477, 'val_kl_Loss_FC': 0.0}
85 not saved {'val_OrigRecLoss': 0.00197, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_Z': 0.10745, 'val_kl_Loss_FC': 0.0}
86 not saved {'val_OrigRecLoss': 0.00198, 'val_FeatRecLoss': 0.00522, 'val_kl_Loss_Z': 0.09781, 'val_kl_Loss_FC': 0.0}
87 not saved {'val_OrigRecLoss': 0.00187, 'val_FeatRecLoss': 0.00522, 'val_kl_Loss_Z': 0.10573, 'val_kl_Loss_FC': 0.0}
88 not saved {'val_OrigRecLoss': 0.00187, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_Z': 0.10921, 'val_kl_Loss_FC': 1e-05}
89 saved {'val_OrigRecLoss': 0.00186, 'val_FeatRecLoss': 0.00519, 'val_kl_Loss_Z': 0.09796, 'val_kl_Loss_FC': 1e-05}
90 not saved {'val_OrigRecLoss': 0.00201, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_Z': 0.10686, 'val_kl_Loss_FC': 0.0}
91 not saved {'val_OrigRecLoss': 0.00185, 'val_FeatRecLoss': 0.0052, 'val_kl_Loss_Z': 0.11365, 'val_kl_Loss_FC': 1e-05}
92 not saved {'val_OrigRecLoss': 0.00184, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_Z': 0.11189, 'val_kl_Loss_FC': 0.0}
93 not saved {'val_OrigRecLoss': 0.0018, 'val_FeatRecLoss': 0.0052, 'val_kl_Loss_Z': 0.0949, 'val_kl_Loss_FC': 1e-05}
94 not saved {'val_OrigRecLoss': 0.0018, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_Z': 0.11406, 'val_kl_Loss_FC': 0.0}
95 not saved {'val_OrigRecLoss': 0.00183, 'val_FeatRecLoss': 0.00522, 'val_kl_Loss_Z': 0.10104, 'val_kl_Loss_FC': 1e-05}
96 not saved {'val_OrigRecLoss': 0.00194, 'val_FeatRecLoss': 0.0052, 'val_kl_Loss_Z': 0.11278, 'val_kl_Loss_FC': 0.0}
97 not saved {'val_OrigRecLoss': 0.00174, 'val_FeatRecLoss': 0.00519, 'val_kl_Loss_Z': 0.09947, 'val_kl_Loss_FC': 1e-05}
98 not saved {'val_OrigRecLoss': 0.00174, 'val_FeatRecLoss': 0.00523, 'val_kl_Loss_Z': 0.09829, 'val_kl_Loss_FC': 0.0}
99 not saved {'val_OrigRecLoss': 0.00185, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_Z': 0.10433, 'val_kl_Loss_FC': 0.0}
100 not saved {'val_OrigRecLoss': 0.00185, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_Z': 0.10886, 'val_kl_Loss_FC': 0.0}
101 not saved {'val_OrigRecLoss': 0.00185, 'val_FeatRecLoss': 0.0052, 'val_kl_Loss_Z': 0.11062, 'val_kl_Loss_FC': 0.0}
102 saved {'val_OrigRecLoss': 0.00175, 'val_FeatRecLoss': 0.00519, 'val_kl_Loss_Z': 0.10761, 'val_kl_Loss_FC': 0.0}
103 not saved {'val_OrigRecLoss': 0.0017, 'val_FeatRecLoss': 0.0052, 'val_kl_Loss_Z': 0.10781, 'val_kl_Loss_FC': 0.0}
104 not saved {'val_OrigRecLoss': 0.00172, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_Z': 0.09722, 'val_kl_Loss_FC': 0.0}
105 not saved {'val_OrigRecLoss': 0.00175, 'val_FeatRecLoss': 0.0052, 'val_kl_Loss_Z': 0.0983, 'val_kl_Loss_FC': 0.0}
106 not saved {'val_OrigRecLoss': 0.00169, 'val_FeatRecLoss': 0.0052, 'val_kl_Loss_Z': 0.10029, 'val_kl_Loss_FC': 0.0}
107 saved {'val_OrigRecLoss': 0.00195, 'val_FeatRecLoss': 0.00519, 'val_kl_Loss_Z': 0.13031, 'val_kl_Loss_FC': 0.0}
108 not saved {'val_OrigRecLoss': 0.00166, 'val_FeatRecLoss': 0.0052, 'val_kl_Loss_Z': 0.09499, 'val_kl_Loss_FC': 0.0}
109 not saved {'val_OrigRecLoss': 0.00168, 'val_FeatRecLoss': 0.00522, 'val_kl_Loss_Z': 0.09559, 'val_kl_Loss_FC': 1e-05}
110 saved {'val_OrigRecLoss': 0.00172, 'val_FeatRecLoss': 0.00519, 'val_kl_Loss_Z': 0.11227, 'val_kl_Loss_FC': 0.0}
111 not saved {'val_OrigRecLoss': 0.00168, 'val_FeatRecLoss': 0.00519, 'val_kl_Loss_Z': 0.11224, 'val_kl_Loss_FC': 0.0}
112 not saved {'val_OrigRecLoss': 0.00164, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_Z': 0.1121, 'val_kl_Loss_FC': 1e-05}
113 not saved {'val_OrigRecLoss': 0.00163, 'val_FeatRecLoss': 0.0052, 'val_kl_Loss_Z': 0.10833, 'val_kl_Loss_FC': 0.0}
114 not saved {'val_OrigRecLoss': 0.00165, 'val_FeatRecLoss': 0.0052, 'val_kl_Loss_Z': 0.10034, 'val_kl_Loss_FC': 0.0}
115 not saved {'val_OrigRecLoss': 0.00163, 'val_FeatRecLoss': 0.0052, 'val_kl_Loss_Z': 0.09829, 'val_kl_Loss_FC': 1e-05}
116 not saved {'val_OrigRecLoss': 0.00161, 'val_FeatRecLoss': 0.00523, 'val_kl_Loss_Z': 0.10676, 'val_kl_Loss_FC': 0.0}
117 not saved {'val_OrigRecLoss': 0.00162, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_Z': 0.11049, 'val_kl_Loss_FC': 0.0}
118 not saved {'val_OrigRecLoss': 0.00173, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_Z': 0.11243, 'val_kl_Loss_FC': 0.0}
119 not saved {'val_OrigRecLoss': 0.00158, 'val_FeatRecLoss': 0.00522, 'val_kl_Loss_Z': 0.10715, 'val_kl_Loss_FC': 0.0}
120 not saved {'val_OrigRecLoss': 0.00162, 'val_FeatRecLoss': 0.0052, 'val_kl_Loss_Z': 0.10163, 'val_kl_Loss_FC': 0.0}
121 not saved {'val_OrigRecLoss': 0.00173, 'val_FeatRecLoss': 0.00522, 'val_kl_Loss_Z': 0.10601, 'val_kl_Loss_FC': 1e-05}
122 not saved {'val_OrigRecLoss': 0.00156, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_Z': 0.11032, 'val_kl_Loss_FC': 1e-05}
123 not saved {'val_OrigRecLoss': 0.00158, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_Z': 0.10268, 'val_kl_Loss_FC': 0.0}
124 not saved {'val_OrigRecLoss': 0.00157, 'val_FeatRecLoss': 0.0052, 'val_kl_Loss_Z': 0.12099, 'val_kl_Loss_FC': 0.0}
125 not saved {'val_OrigRecLoss': 0.00155, 'val_FeatRecLoss': 0.0052, 'val_kl_Loss_Z': 0.09352, 'val_kl_Loss_FC': 0.0}
126 not saved {'val_OrigRecLoss': 0.0017, 'val_FeatRecLoss': 0.00522, 'val_kl_Loss_Z': 0.11005, 'val_kl_Loss_FC': 0.0}
127 not saved {'val_OrigRecLoss': 0.00155, 'val_FeatRecLoss': 0.00519, 'val_kl_Loss_Z': 0.13191, 'val_kl_Loss_FC': 0.0}
128 saved {'val_OrigRecLoss': 0.00164, 'val_FeatRecLoss': 0.00498, 'val_kl_Loss_Z': 0.26055, 'val_kl_Loss_FC': 1e-05}
129 saved {'val_OrigRecLoss': 0.00154, 'val_FeatRecLoss': 0.00471, 'val_kl_Loss_Z': 0.31485, 'val_kl_Loss_FC': 0.0}
130 saved {'val_OrigRecLoss': 0.00159, 'val_FeatRecLoss': 0.00417, 'val_kl_Loss_Z': 0.67613, 'val_kl_Loss_FC': 0.0}
131 saved {'val_OrigRecLoss': 0.00159, 'val_FeatRecLoss': 0.00375, 'val_kl_Loss_Z': 0.76859, 'val_kl_Loss_FC': 1e-05}
132 saved {'val_OrigRecLoss': 0.00152, 'val_FeatRecLoss': 0.00346, 'val_kl_Loss_Z': 0.92473, 'val_kl_Loss_FC': 0.0}
133 saved {'val_OrigRecLoss': 0.00166, 'val_FeatRecLoss': 0.00317, 'val_kl_Loss_Z': 1.01342, 'val_kl_Loss_FC': 1e-05}
134 saved {'val_OrigRecLoss': 0.00157, 'val_FeatRecLoss': 0.0027, 'val_kl_Loss_Z': 1.32641, 'val_kl_Loss_FC': 1e-05}
135 saved {'val_OrigRecLoss': 0.00172, 'val_FeatRecLoss': 0.00221, 'val_kl_Loss_Z': 1.43868, 'val_kl_Loss_FC': 2e-05}
136 saved {'val_OrigRecLoss': 0.00152, 'val_FeatRecLoss': 0.00192, 'val_kl_Loss_Z': 1.4748, 'val_kl_Loss_FC': 0.0}
137 saved {'val_OrigRecLoss': 0.00157, 'val_FeatRecLoss': 0.00173, 'val_kl_Loss_Z': 1.4631, 'val_kl_Loss_FC': 0.0}
138 saved {'val_OrigRecLoss': 0.00158, 'val_FeatRecLoss': 0.00159, 'val_kl_Loss_Z': 1.50033, 'val_kl_Loss_FC': 0.0}
139 saved {'val_OrigRecLoss': 0.00154, 'val_FeatRecLoss': 0.00155, 'val_kl_Loss_Z': 1.52626, 'val_kl_Loss_FC': 1e-05}
140 saved {'val_OrigRecLoss': 0.00154, 'val_FeatRecLoss': 0.0014, 'val_kl_Loss_Z': 1.50896, 'val_kl_Loss_FC': 0.0}
141 saved {'val_OrigRecLoss': 0.0015, 'val_FeatRecLoss': 0.00137, 'val_kl_Loss_Z': 1.48352, 'val_kl_Loss_FC': 0.0}
142 not saved {'val_OrigRecLoss': 0.00155, 'val_FeatRecLoss': 0.00133, 'val_kl_Loss_Z': 1.49481, 'val_kl_Loss_FC': 0.0}
143 not saved {'val_OrigRecLoss': 0.0015, 'val_FeatRecLoss': 0.00129, 'val_kl_Loss_Z': 1.45485, 'val_kl_Loss_FC': 0.0}
144 saved {'val_OrigRecLoss': 0.00148, 'val_FeatRecLoss': 0.00125, 'val_kl_Loss_Z': 1.49235, 'val_kl_Loss_FC': 0.0}
145 not saved {'val_OrigRecLoss': 0.0015, 'val_FeatRecLoss': 0.00125, 'val_kl_Loss_Z': 1.43951, 'val_kl_Loss_FC': 0.0}
146 not saved {'val_OrigRecLoss': 0.00159, 'val_FeatRecLoss': 0.00122, 'val_kl_Loss_Z': 1.44791, 'val_kl_Loss_FC': 1e-05}
147 not saved {'val_OrigRecLoss': 0.00154, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 1.45018, 'val_kl_Loss_FC': 0.0}
148 saved {'val_OrigRecLoss': 0.00147, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 1.45839, 'val_kl_Loss_FC': 1e-05}
