78 saved {'val_OrigRecLoss': 0.00719, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.77058}
79 saved {'val_OrigRecLoss': 0.00711, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 0.77372}
80 saved {'val_OrigRecLoss': 0.00702, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 0.74656}
81 saved {'val_OrigRecLoss': 0.00693, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.74242}
82 not saved {'val_OrigRecLoss': 0.00702, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.71865}
83 saved {'val_OrigRecLoss': 0.00686, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 0.73982}
84 saved {'val_OrigRecLoss': 0.00679, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.7285}
85 saved {'val_OrigRecLoss': 0.00674, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 0.73727}
86 saved {'val_OrigRecLoss': 0.00669, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 0.71507}
87 saved {'val_OrigRecLoss': 0.00667, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.74087}
88 saved {'val_OrigRecLoss': 0.00661, 'val_FeatRecLoss': 0.00019, 'val_kl_Loss_Z': 0.75555}
89 saved {'val_OrigRecLoss': 0.00656, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.74017}
90 saved {'val_OrigRecLoss': 0.00648, 'val_FeatRecLoss': 0.00019, 'val_kl_Loss_Z': 0.7645}
91 saved {'val_OrigRecLoss': 0.00643, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.80521}
92 not saved {'val_OrigRecLoss': 0.00645, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.78314}
93 not saved {'val_OrigRecLoss': 0.00645, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.78067}
94 saved {'val_OrigRecLoss': 0.00636, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.78378}
95 not saved {'val_OrigRecLoss': 0.00639, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 0.78665}
96 saved {'val_OrigRecLoss': 0.00628, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.75539}
97 saved {'val_OrigRecLoss': 0.00628, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.7645}
98 not saved {'val_OrigRecLoss': 0.00643, 'val_FeatRecLoss': 0.00019, 'val_kl_Loss_Z': 0.74383}
99 saved {'val_OrigRecLoss': 0.0061, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 0.75789}
100 not saved {'val_OrigRecLoss': 0.00614, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.75182}
101 saved {'val_OrigRecLoss': 0.00598, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 0.72324}
102 saved {'val_OrigRecLoss': 0.00594, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 0.73437}
103 not saved {'val_OrigRecLoss': 0.00596, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.72058}
104 saved {'val_OrigRecLoss': 0.0058, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 0.72292}
105 not saved {'val_OrigRecLoss': 0.00583, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.73538}
106 saved {'val_OrigRecLoss': 0.00579, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 0.79114}
107 saved {'val_OrigRecLoss': 0.00569, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 0.72592}
108 saved {'val_OrigRecLoss': 0.00563, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 0.71218}
109 saved {'val_OrigRecLoss': 0.00552, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.71268}
110 not saved {'val_OrigRecLoss': 0.00569, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.69485}
111 not saved {'val_OrigRecLoss': 0.00553, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 0.70223}
